x,y,token
15.376073,25.391947,spirit
-18.57999,55.404934,King
-43.388382,-26.877563,passed
-72.50317,2.020192,perhaps
-42.618126,32.53043,sir
-18.420328,48.904343,Not
11.946929,39.096073,cause
28.158508,35.951637,sin
-48.965836,29.317356,afraid
-49.14711,20.687767,wish
-55.055473,19.324648,leave
-19.90371,-57.67722,got
-40.28849,19.51429,matter
-30.497927,12.152303,since
13.445635,44.130657,walk
-50.023468,-35.59679,evening
-31.588589,-48.75923,"--"""
51.28187,39.260273,commanded
31.330574,-59.38171,eye
-2.53278,43.66457,By
39.613644,5.2002425,lay
14.319188,49.84486,Therefore
-30.62315,-47.724518,replied
46.315083,20.021076,until
-20.711193,-57.491573,boy
42.070374,55.090706,John
31.360405,23.214365,fall
-54.08411,-11.916935,family
26.052807,64.314156,36
-18.99162,40.24712,alone
-32.1132,0.56671,others
-46.8278,29.697903,m
-42.0884,4.723255,kind
-35.85244,7.782274,less
-16.607584,49.917126,true
6.8366485,43.834435,die
-7.0731134,55.7803,Is
-49.009743,23.378283,answer
25.570919,64.06299,35
7.8601193,-59.70742,behind
-5.2286325,-63.83232,towards
66.432884,6.713309,twenty
-3.9172876,-21.304476,times
-34.4366,44.39016,)
56.625923,26.4327,toward
46.567387,-15.197629,tree
-8.201432,-68.72925,hour
47.331165,7.640376,bread
47.233646,7.626281,drink
29.4196,-7.45477,Heaven
66.477776,5.886534,ten
34.86139,-52.672028,black
48.36207,25.09566,midst
20.694328,4.8579874,These
14.923697,-63.3365,along
41.360268,-10.291237,waters
55.99626,0.29582727,silver
13.575461,56.55668,pray
50.44468,33.895134,war
1.5288574,39.601627,money
1.7380573,33.744083,One
-65.28539,-32.18982,Weston
8.517343,38.01086,bear
-6.210366,58.87327,Do
66.04544,50.257824,second
6.74727,29.599632,kept
-47.743443,5.5656223,friends
46.208748,52.786095,Saul
58.105133,47.3585,priests
-6.341701,-32.39609,large
-63.12513,-28.094082,Lady
-50.947124,18.025963,feel
-25.494501,-49.834675,MacIan
44.79834,26.558292,mighty
-56.464134,7.1589847,reason
17.005924,13.791637,joy
26.261652,13.918411,living
12.202335,58.745018,Come
25.97325,63.934525,37
19.440329,32.924065,wicked
-38.66713,-30.083817,course
-5.9349146,-35.309753,fine
38.098656,8.949917,field
31.414785,-10.593227,From
-50.022682,24.427446,understand
-44.552216,24.415297,help
26.851048,43.423176,spoken
-55.274944,3.7478971,person
-59.162148,4.6152897,pleasure
-45.39859,14.017401,often
-20.385181,43.238003,Or
-45.711,-32.461998,returned
-6.389042,-50.370056,garden
-30.744755,19.85142,ready
-12.334282,61.157547,haue
-52.24741,24.210064,ask
51.846546,26.917238,country
49.94625,11.51902,altar
37.27543,20.718346,dwell
49.49169,11.931093,burnt
-50.62073,13.965169,able
37.491688,-41.793518,dark
-29.621876,-51.788563,Alice
36.72724,-3.9944124,broken
21.809946,-63.039127,boat
30.329184,46.62321,written
-23.959316,-32.195957,short
38.98201,20.267374,nations
-0.15487036,56.263912,Where
-65.43669,-32.17213,Knightley
48.253727,36.743786,kings
24.676666,-18.061178,On
26.285498,64.11392,38
40.53706,22.018429,women
-16.89077,-55.42535,bed
-18.74767,-30.87492,strange
-65.38271,-32.166443,Elton
-45.329082,19.986744,anything
-51.30204,21.032415,ought
2.8072608,-56.248314,table
39.565796,5.538262,laid
-44.960445,47.688847,}
34.05187,51.4547,Jacob
44.62211,-19.295578,sweet
-5.471727,-59.146465,ran
10.986977,29.71121,strength
17.323746,-10.992165,itself
14.308488,33.339527,faith
57.91398,16.033934,congregation
17.137754,33.460217,judgment
47.721867,-15.165247,trees
-43.129093,34.706543,?--
-40.158573,16.297699,business
58.037987,19.680153,gate
45.58078,36.6281,chief
-35.44499,-18.388935,Her
-10.473522,-60.603935,walked
-52.11933,-17.992834,received
7.488959,45.77384,send
2.9039068,43.84977,meet
-0.7462359,45.61098,Yet
-23.879885,-58.007225,Brown
21.406403,44.698353,Son
17.71974,39.36932,kingdom
26.261923,63.454712,40
-48.40936,28.651363,glad
30.329014,46.636936,book
14.234016,33.98054,works
19.546408,29.893026,wise
-68.89865,-2.6581094,either
57.834816,43.54008,Ham
32.084312,-55.263325,hair
-47.07916,20.433989,certainly
12.007116,7.5768204,",)"
51.174812,54.619865,Aaron
54.31094,22.842215,wall
-59.075077,5.917291,doubt
-50.79432,27.158852,remember
-63.51125,7.1593227,;--
34.35908,-52.08161,red
-3.2768855,-54.256794,opened
